"","Age1","Age2","Liberty","Length1","Length2","Sex","Area1","Date0","Date1","Date2","release.weight","weight","distance"
"1510",20.9917638984214,21,0.00823610157858614,146,144,1,9,1983-01-16 00:00:00,2004-01-16,2004-01-19,35,31,68.4261603669388
"1710",18.9231297185999,19,0.0768702814001373,112,130,2,9,1985-01-28 00:00:00,2004-01-28,2004-02-25,11,21,84.0284907325957
"2110",17.9862731640357,18,0.0137268359643102,152,128,2,9,1987-01-10 00:00:00,2005-01-10,2005-01-15,32,22,2.27372659122247
"2310",15.9951956074125,17,1.00480439258751,135,134,2,9,1987-01-20 00:00:00,2004-01-20,2005-01-20,29.5,25.5,5.40237659193506
"2810",20.0363761153054,21,0.963623884694578,150,151,2,9,1983-01-20 00:00:00,2004-01-20,2005-01-05,29,27,4.68003576472122
"3010",31.9835277968428,32,0.0164722031571723,158,158,1,9,1973-01-09 23:00:00,2005-01-10,2005-01-16,46,44.5,43.2216165714409
"3110",10.044612216884,11,0.955387783115992,92,82,1,4,1993-01-18 00:00:00,2004-01-18,2004-12-31,7.3,7.5,82.2479997353572
"3210",11.0418668496911,12,0.958133150308854,85,88,2,3,1992-02-26 00:00:00,2004-02-26,2005-02-09,6,9,2.773889511272
"3310",6.99382292381606,10,3.00617707618394,64,91,2,5,1992-01-21 00:00:00,2002-01-21,2005-01-20,2.81,8.3,95.0559051857447
"3510",9.99725463280714,10,0.00274536719286205,103,99,1,4,1995-01-08 00:00:00,2005-01-08,2005-01-09,13.2,13.11,14.0910130470341
"3610",12.0885380919698,13,0.911461908030199,98,101,2,4,1991-02-05 00:00:00,2004-02-05,2005-01-02,10.6858902290312,11.2,56.3793413578824
"3710",12.1530542210021,15,2.84694577899794,89,108,1,4,1987-03-12 23:00:00,2002-03-13,2005-01-13,9.6,15.86,72.6600686942724
"3810",12.0748112560055,13,0.925188743994509,109,110,2,4,1991-02-06 00:00:00,2004-02-06,2005-01-08,16.1,15,32.4778762608935
"3910",15.0006863417982,16,0.999313658201785,110,112,1,4,1988-01-05 00:00:00,2004-01-05,2005-01-03,12.2,14.9,60.1243765265714
"4010",12.1503088538092,15,2.8496911461908,93,115,1,4,1987-03-07 23:00:00,2002-03-08,2005-01-09,9.8,19.5,17.8693800303159
"4110",12.0089224433768,13,0.991077556623198,115,116,2,2,1990-12-20 00:00:00,2003-12-20,2004-12-15,18.5,14.9,2.7798731661138
"4210",12.070006863418,14,1.92999313658202,111,124,1,4,1989-01-28 00:00:00,2003-01-28,2004-12-31,17,22.5,126.187470428584
"4310",15.0597117364448,18,2.94028826355525,111,124,1,4,1984-02-03 00:00:00,2002-02-03,2005-01-09,16.6,24.9,16.220843638313
"4410",14.0089224433768,15,0.991077556623198,128,129,2,2,1988-12-20 00:00:00,2003-12-20,2004-12-15,23.2,18.1,2.7798731661138
"4510",9.02882635552505,11,1.97117364447495,99,105,2,4,1992-01-25 00:00:00,2003-01-25,2005-01-12,12.5,14.54,31.8496886018958
"4610",12.0473575840769,13,0.95264241592313,87,108,2,4,1991-01-31 00:00:00,2004-01-31,2005-01-12,8.6,13.87,123.911175536737
"4710",11.0398078242965,13,1.9601921757035,100,109,2,4,1990-01-29 00:00:00,2003-01-29,2005-01-12,12.4,14.44,22.5741201791611
"4810",10.0343170899108,12,1.96568291008922,98,110,2,4,1991-01-26 00:00:00,2003-01-26,2005-01-11,11,14,29.741230485891
"4910",10.9931365820178,13,2.00686341798216,106,115,2,4,1990-01-13 00:00:00,2003-01-13,2005-01-13,15,2,27.7311970401017
"5010",11.1503088538092,14,2.8496911461908,112,128,1,4,1988-03-10 23:00:00,2002-03-11,2005-01-12,19.5,26.24,67.0945815454797
"5210",6.98627316403569,7,0.0137268359643102,64.5,63,1,7,1998-01-28 00:00:00,2005-01-28,2005-02-02,3,2.09,35.3971883793136
"5410",11.9505833905285,12,0.0494166094715168,60,96,2,5,1993-01-09 00:00:00,2005-01-09,2005-01-27,1.89,10.17,125.546216120415
"5510",9.98421413864104,11,1.01578586135896,113,111,2,2,1992-12-09 00:00:00,2003-12-09,2004-12-13,17,12.8,2.56153264237263
"5610",14.0034317089911,15,0.996568291008922,113,115,2,2,1988-12-14 00:00:00,2003-12-14,2004-12-11,14.5,11.8,1.00853468028105
"5710",13.0226492793411,14,0.977350720658888,120,116,2,2,1989-12-19 00:00:00,2003-12-19,2004-12-09,17,15,0.402568375914835
"5810",15.9897048730268,17,1.01029512697323,125,121,2,2,1986-12-09 00:00:00,2003-12-09,2004-12-11,21,17.45,3.18358838507293
"5910",18.9979409746054,20,1.00205902539465,115,122,2,2,1983-12-15 00:00:00,2003-12-15,2004-12-14,15.5,14,5.90568528349388
"6010",17.0171585449554,18,0.982841455044612,130,128,2,2,1985-12-19 00:00:00,2003-12-19,2004-12-11,21,15.85,3.0230909407951
"6110",26.9869595058339,28,1.01304049416609,130,132,2,2,1975-12-09 00:00:00,2003-12-09,2004-12-12,24,19.4,1.00848613200329
"6310",28.9814687714482,30,1.01853122855182,150,147,2,2,1973-12-10 23:00:00,2003-12-11,2004-12-16,35,27.5,0.79613755789346
"1091",19.0144131777625,20,0.985586822237474,138,135,2,2,1985-12-15 00:00:00,2005-12-15,2006-12-09,25,21,2.80820352445315
"1101",9.94921070693205,12,2.05078929306795,97,105,2,4,1992-12-26 00:00:00,2004-12-26,2007-01-12,10.9,10.9,89.2333011513221
"1111",17.9732326698696,19,1.0267673301304,154,148,1,5,1987-01-06 00:00:00,2006-01-06,2007-01-15,42.2910366171671,44.5,93.5281605317557
"1121",13.0061770761839,14,0.99382292381606,117,115,2,5,1992-01-18 00:00:00,2006-01-18,2007-01-15,18.3249858165537,18,71.9466256573717
"1131",13.0226492793411,14,0.977350720658888,105,105,1,8,1992-01-27 00:00:00,2006-01-27,2007-01-18,12.8,12.23,6.32313103823176
"1141",15.025394646534,16,0.974605353466026,114,112,2,8,1990-01-28 00:00:00,2006-01-28,2007-01-18,16.8,15,15.4780609303953
