                 Estimate   Std. Error
Length1_hat  1.032923e+02 1.353485e+00
Length1_hat  9.138188e+01 1.475378e+00
Length1_hat  9.259405e+01 1.459676e+00
Length1_hat  9.060730e+01 1.574412e+00
Length1_hat  1.275077e+02 1.784515e+00
Length1_hat  1.224138e+02 1.371259e+00
Length1_hat  1.275077e+02 1.784515e+00
Length1_hat  1.093239e+02 2.285698e+00
Length1_hat  1.027369e+02 2.246502e+00
Length1_hat  1.161191e+02 1.457347e+00
Length1_hat  9.210074e+01 1.462507e+00
Length1_hat  9.031427e+01 1.627338e+00
Length1_hat  1.224389e+02 1.380776e+00
Length1_hat  1.005569e+02 1.373583e+00
Length1_hat  9.864098e+01 1.415598e+00
Length1_hat  1.096485e+02 1.229965e+00
Length1_hat  9.885675e+01 1.426325e+00
Length1_hat  1.097301e+02 1.248522e+00
Length1_hat  8.141126e+01 1.629195e+00
Length1_hat  1.006543e+02 1.339458e+00
Length1_hat  8.642710e+01 1.412546e+00
Length1_hat  1.262490e+02 1.737287e+00
Length1_hat  9.706274e+01 1.445799e+00
Length1_hat  9.470702e+01 1.552954e+00
Length1_hat  9.131776e+01 1.696523e+00
Length1_hat  1.076584e+02 1.404404e+00
Length1_hat  8.600258e+01 1.400915e+00
Length1_hat  1.063815e+02 1.440249e+00
Length1_hat  1.081731e+02 1.521724e+00
Length1_hat  8.234648e+01 1.646914e+00
Length1_hat  8.921253e+01 1.668523e+00
Length1_hat  9.288678e+01 1.414402e+00
Length1_hat  9.923915e+01 1.697929e+00
Length1_hat  7.896590e+01 1.742890e+00
Length1_hat  9.244855e+01 1.421194e+00
Length1_hat  1.118649e+02 1.242947e+00
Length1_hat  1.028914e+02 1.428458e+00
Length1_hat  9.342457e+01 1.442251e+00
Length1_hat  1.090014e+02 1.360579e+00
Length1_hat  9.296696e+01 1.594100e+00
Length1_hat  1.089682e+02 1.359240e+00
Length1_hat  8.214971e+01 2.247492e+00
Length1_hat  1.252484e+02 1.376254e+00
Length1_hat  9.149831e+01 1.671673e+00
Length1_hat  1.011732e+02 1.229117e+00
Length1_hat  9.164923e+01 1.432180e+00
Length1_hat  9.410498e+01 1.602461e+00
Length1_hat  8.458583e+01 1.960925e+00
Length1_hat  8.132869e+01 1.640895e+00
Length1_hat  1.036326e+02 1.302185e+00
Length1_hat  1.366394e+02 1.950365e+00
Length1_hat  9.494130e+01 1.544500e+00
Length1_hat  9.837961e+01 1.410590e+00
Length1_hat  9.789584e+01 1.485219e+00
Length1_hat  6.815367e+01 2.277971e+00
Length1_hat  8.753018e+01 1.505646e+00
Length1_hat  1.185065e+02 1.478326e+00
Length1_hat  9.164923e+01 1.432180e+00
Length1_hat  1.243969e+02 1.308374e+00
Length1_hat  9.795875e+01 1.492585e+00
Length1_hat  1.217854e+02 1.353948e+00
Length1_hat  1.051183e+02 1.468408e+00
Length1_hat  1.055347e+02 1.430614e+00
Length1_hat  8.291261e+01 2.258891e+00
Length1_hat  9.209465e+01 1.472055e+00
Length1_hat  9.784469e+01 1.443153e+00
Length1_hat  9.145961e+01 1.423188e+00
Length1_hat  9.083511e+01 1.545802e+00
Length1_hat  8.755246e+01 2.036524e+00
Length1_hat  9.790373e+01 1.491260e+00
Length1_hat  1.319860e+02 1.637985e+00
Length1_hat  8.695238e+01 1.822467e+00
Length1_hat  1.089533e+02 1.362880e+00
Length1_hat  8.657626e+01 1.426854e+00
Length1_hat  9.589672e+01 1.598683e+00
Length1_hat  9.035961e+01 1.620553e+00
Length1_hat  9.267905e+01 2.285614e+00
